ch,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
5.5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
6,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
9,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
12,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
18,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
24,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
36,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
48,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
54,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
mcs0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
mcs1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
mcs2,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
mcs3,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
mcs4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
mcs5,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
mcs6,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
mcs7,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
